Accuracy,Ranked_kNN,Points,Dim,Score,Lac
0.7256983877527396,0.021102497846683894,3096,3,0.048815676141257536,0
0.7809846631759542,0.024440137812230835,3096,5,0.06907838070628769,0
0.8922090528688505,0.05831180017226529,3096,10,0.21515934539190354,0
0.9414024107050012,0.12530146425495262,3096,15,0.3386520241171404,0
0.9655923490219194,0.17416020671834626,3096,20,0.4164944013781223,1
0.9777280195686192,0.21513781223083547,3096,25,0.4791343669250646,1
0.9844012323723083,0.25178725236864774,3096,30,0.5287898363479758,1
0.989425122759339,0.2832687338501292,3096,35,0.5762919896640827,48
0.9925851509339352,0.3228897502153316,3096,40,0.6242463393626184,48
0.9944674351055132,0.3477390180878553,3096,45,0.6573858742463393,276
0.9961616176904623,0.3904823428079242,3096,50,0.7014857881136951,1228
0.9973278839650614,0.4334194659776055,3096,55,0.7431309216192937,1980
0.9979837519581652,0.4657192075796727,3096,60,0.7695736434108527,300
0.9984886916218696,0.4962747631352282,3096,65,0.7957579672695951,1618
0.9988123897590444,0.5190783807062876,3096,70,0.8141903531438415,520
0.999027826477898,0.5468130921619294,3096,75,0.8319982773471145,520
0.9992498709972355,0.5688630490956073,3096,80,0.8471576227390181,1618
0.9993755383290267,0.592786391042205,3096,85,0.8618863049095608,1618
0.9994694910213796,0.6152024117140397,3096,90,0.8729112833763997,1202
0.9995453160574738,0.6334194659776056,3096,95,0.8808354866494401,1618
0.9996225635575109,0.6542420327304048,3096,100,0.8914298018949182,1202
0.9996712987137842,0.6646210163652024,3096,105,0.8989233419465977,1202
0.9997283444229463,0.6841085271317829,3096,110,0.9070413436692506,1980
0.9997558196994019,0.6933677863910422,3096,115,0.9113264427217915,1202
0.9998011423436544,0.7071274763135228,3096,120,0.9183677863910422,1714
0.9998209517306832,0.720198105081826,3096,125,0.9241171403962102,1980
0.9998421415383857,0.727885443583118,3096,128,0.9275409130060293,458
