Trustworthiness,Ranked_kNN,Points,Dim,Ranked,Lac
0.9767928301090351,0.5515288544358312,3096,16,0.1938845822566753,276
0.9947510870287265,0.7429801894918174,3096,32,0.3473083548664944,203
0.9982360956602097,0.8275839793281654,3096,48,0.4372739018087855,276
0.9993781239900856,0.8842161929371232,3096,64,0.5180017226528855,1662
0.9996950811897573,0.9155038759689923,3096,82,0.5718561584840655,2181
0.9998122697955828,0.9328811369509044,3096,100,0.6024978466838932,2181
0.9998804849999425,0.9453488372093023,3096,114,0.6190137812230836,2310
0.9999135590384199,0.9551679586563308,3096,128,0.6377260981912145,2310
